split,w_conf,level,budget,method,accuracy
ID,0.5,L4,0.1,intuition,0.7308333333333333
ID,0.5,L4,0.1,random,0.6896666666666667
ID,0.5,L4,0.1,oracle,0.757
OOD,0.5,L4,0.1,fast,0.6656666666666666
OOD,0.5,L4,0.1,confidence,0.7111666666666666
OOD,0.5,L4,0.1,intuition,0.7411666666666666
OOD,0.5,L4,0.1,random,0.7003333333333334
OOD,0.5,L4,0.1,oracle,0.7656666666666667
ID,0.5,L4,0.2,fast,0.657
ID,0.5,L4,0.2,confidence,0.7476666666666667
ID,0.5,L4,0.2,intuition,0.7911666666666667
ID,0.5,L4,0.2,random,0.7246666666666667
ID,0.5,L4,0.2,oracle,0.857
OOD,0.5,L4,0.2,fast,0.6656666666666666
OOD,0.5,L4,0.2,confidence,0.7543333333333333
OOD,0.5,L4,0.2,intuition,0.8011666666666667
OOD,0.5,L4,0.2,random,0.7295
OOD,0.5,L4,0.2,oracle,0.8656666666666667
ID,0.5,L4,0.3,fast,0.657
ID,0.5,L4,0.3,confidence,0.7895
ID,0.5,L4,0.3,intuition,0.8415
ID,0.5,L4,0.3,random,0.7646666666666667
ID,0.5,L4,0.3,oracle,0.957
OOD,0.5,L4,0.3,fast,0.6656666666666666
OOD,0.5,L4,0.3,confidence,0.7955
OOD,0.5,L4,0.3,intuition,0.8503333333333334
OOD,0.5,L4,0.3,random,0.7615
OOD,0.5,L4,0.3,oracle,0.9656666666666667
ID,0.5,L4,0.4,fast,0.657
ID,0.5,L4,0.4,confidence,0.8256666666666667
ID,0.5,L4,0.4,intuition,0.8856666666666667
ID,0.5,L4,0.4,random,0.7953333333333333
ID,0.5,L4,0.4,oracle,1.0
OOD,0.5,L4,0.4,fast,0.6656666666666666
OOD,0.5,L4,0.4,confidence,0.8316666666666667
OOD,0.5,L4,0.4,intuition,0.89
OOD,0.5,L4,0.4,random,0.8043333333333333
OOD,0.5,L4,0.4,oracle,1.0
ID,1.1,L0,0.1,fast,0.6413333333333333
ID,1.1,L0,0.1,confidence,0.7006666666666667
ID,1.1,L0,0.1,intuition,0.7005
ID,1.1,L0,0.1,random,0.674
ID,1.1,L0,0.1,oracle,0.7413333333333333
OOD,1.1,L0,0.1,fast,0.6456666666666667
OOD,1.1,L0,0.1,confidence,0.7043333333333334
OOD,1.1,L0,0.1,intuition,0.7035
OOD,1.1,L0,0.1,random,0.682
