generator,seed,w_conf,level,delta_auc
linear,13,0.0,a045,0.10457455261410431
linear,13,0.0,a070,0.16754850873016236
linear,13,0.0,a100,0.1853748459186807
linear,13,0.0,a150,0.22524587497175497
linear,13,0.0,a200,0.24161347678162015
linear,13,0.0,a300,0.25740072416365933
linear,13,0.2,L0_null,-0.0017562448965873223
linear,13,0.2,L1_redundant,0.0
linear,13,0.2,a025,0.04062689565404631
linear,13,0.2,a045,0.0757080254146345
linear,13,0.2,a070,0.12141779779380824
linear,13,0.2,a100,0.15818933207889652
linear,13,0.2,a150,0.19392560489430988
linear,13,0.2,a200,0.21096810303604374
linear,13,0.2,a300,0.2226207202033753
linear,13,0.4,L0_null,-0.003653965831859507
linear,13,0.4,L1_redundant,0.0
linear,13,0.4,a025,0.017742057813502132
linear,13,0.4,a045,0.050853651002376266
linear,13,0.4,a070,0.09776377140406023
linear,13,0.4,a100,0.13063703244582026
linear,13,0.4,a150,0.16224303952094488
linear,13,0.4,a200,0.1833164734476893
linear,13,0.4,a300,0.19662125882569814
linear,13,0.6,L0_null,-0.00024402712927307224
linear,13,0.6,L1_redundant,0.0
linear,13,0.6,a025,0.020610563561383244
linear,13,0.6,a045,0.04005886891132804
linear,13,0.6,a070,0.07914943718222411
linear,13,0.6,a100,0.10725370331927708
linear,13,0.6,a150,0.14028362421805052
linear,13,0.6,a200,0.15713215450920381
linear,13,0.6,a300,0.16809775957316953
linear,13,0.8,L0_null,-0.0019391800349812804
linear,13,0.8,L1_redundant,0.0
linear,13,0.8,a025,0.016841229165297844
linear,13,0.8,a045,0.03361987991201476
linear,13,0.8,a070,0.06676704245007037
linear,13,0.8,a100,0.08789877315010375
linear,13,0.8,a150,0.11672276821892458
linear,13,0.8,a200,0.12751429134634362
linear,13,0.8,a300,0.1392273442657832
linear,13,1.0,L0_null,-0.005172888462315672
linear,13,1.0,L1_redundant,0.0
linear,13,1.0,a025,0.012189710042432744
linear,13,1.0,a045,0.02547812689432205
linear,13,1.0,a070,0.05157797029702971
linear,13,1.0,a100,0.08242397454031114
linear,13,1.0,a150,0.09905511214386742
linear,13,1.0,a200,0.11488356233582542
linear,13,1.0,a300,0.12500315720347532
linear,13,1.2,L0_null,0.00025245706252707834
linear,13,1.2,L1_redundant,0.0
linear,13,1.2,a025,0.007527011713078791
linear,13,1.2,a045,0.024082344940708822
linear,13,1.2,a070,0.05289107274918703
linear,13,1.2,a100,0.07278509099815433
linear,13,1.2,a150,0.08812634553274667
linear,13,1.2,a200,0.10219690370388768
linear,13,1.2,a300,0.11272653501991214
linear,13,1.4,L0_null,0.00019989825166588648
linear,13,1.4,L1_redundant,0.0
linear,13,1.4,a025,0.006672705388939271
linear,13,1.4,a045,0.023494310779119343
linear,13,1.4,a070,0.03372312044769277
linear,13,1.4,a100,0.05665868397215579
linear,13,1.4,a150,0.07641585288679886
linear,13,1.4,a200,0.0873665793947217
linear,13,1.4,a300,0.09547219912893501
linear,13,1.6,L0_null,-0.0003827076057739687
linear,13,1.6,L1_redundant,0.0
linear,13,1.6,a025,0.0027848934938583536
linear,13,1.6,a045,0.018596944253839176
linear,13,1.6,a070,0.03748163671078086
linear,13,1.6,a100,0.05749835505607648
linear,13,1.6,a150,0.06833932476003413
linear,13,1.6,a200,0.07913599671373073
linear,13,1.6,a300,0.08521502065585373
linear,13,1.8,L0_null,0.00018760672683260093
linear,13,1.8,L1_redundant,0.0
linear,13,1.8,a025,0.0051791576222991464
linear,13,1.8,a045,0.015518427754220077
linear,13,1.8,a070,0.031244867713141944
linear,13,1.8,a100,0.04306829626874065
linear,13,1.8,a150,0.0612516794326633
linear,13,1.8,a200,0.06719140486644681
linear,13,1.8,a300,0.072980006094436
linear,13,2.0,L0_null,-5.49092859022382e-05
linear,13,2.0,L1_redundant,0.0
linear,13,2.0,a025,0.0033918851000930283
linear,13,2.0,a045,0.013044912827798516
linear,13,2.0,a070,0.029126284432079763
linear,13,2.0,a100,0.041487551916482346
linear,13,2.0,a150,0.05505731836898653
linear,13,2.0,a200,0.06002289865625576
linear,13,2.0,a300,0.06563094232249445
linear,14,0.0,L0_null,0.00023490706512629966
linear,14,0.0,L1_redundant,0.0
linear,14,0.0,a025,0.06406263722664446
linear,14,0.0,a045,0.11799258377312388
linear,14,0.0,a070,0.15525223754281475
linear,14,0.0,a100,0.19428822785012262
linear,14,0.0,a150,0.23167450438726062
linear,14,0.0,a200,0.24516812509481117
linear,14,0.0,a300,0.2623758473121542
linear,14,0.2,L0_null,-0.0022107717130205318
linear,14,0.2,L1_redundant,0.0
linear,14,0.2,a025,0.04328473293144541
linear,14,0.2,a045,0.07052338233829825
linear,14,0.2,a070,0.12659804452405798
linear,14,0.2,a100,0.15481965819544752
linear,14,0.2,a150,0.19851704539543724
linear,14,0.2,a200,0.21256760124024165
linear,14,0.2,a300,0.22585960144433948
linear,14,0.4,L0_null,-0.0028439247500685605
linear,14,0.4,L1_redundant,0.0
linear,14,0.4,a025,0.01938223496824698
