generator,seed,w_conf,level,learner,budget,gain_vs_B1_pp,gain_vs_B3_pp,acc_B1,acc_B3
linear,1,0.0,a025,gbm,0.05,0.3166666666666651,0.7166666666666655,0.6871666666666667,0.6843333333333333
linear,1,0.0,a025,gbm,0.1,0.4666666666666708,0.76666666666666,0.7058333333333333,0.7025
linear,1,0.0,a025,gbm,0.15,0.7833333333333248,0.8000000000000007,0.7235,0.7216666666666667
linear,1,0.0,a025,gbm,0.2,1.0833333333333361,0.9000000000000008,0.7403333333333333,0.7386666666666667
linear,1,0.0,a025,gbm,0.25,1.200000000000001,1.416666666666666,0.7565,0.752
linear,1,0.0,a025,gbm,0.3,1.6000000000000014,1.749999999999996,0.7708333333333334,0.7668333333333334
linear,1,0.0,a025,gbm,0.4,1.9999999999999907,2.1666666666666723,0.802,0.7995
linear,1,0.0,a025,mlp,0.05,0.14999999999999458,0.5666666666666598,0.6871666666666667,0.6843333333333333
linear,1,0.0,a025,mlp,0.1,0.40000000000000036,0.5499999999999949,0.7058333333333333,0.7025
linear,1,0.0,a025,mlp,0.15,0.4666666666666597,0.5833333333333357,0.7235,0.7216666666666667
linear,1,0.0,a025,mlp,0.2,0.3833333333333355,0.7000000000000006,0.7403333333333333,0.7386666666666667
linear,1,0.0,a025,mlp,0.25,0.5666666666666709,1.2333333333333307,0.7565,0.752
linear,1,0.0,a025,mlp,0.3,1.0166666666666657,1.5833333333333255,0.7708333333333334,0.7668333333333334
linear,1,0.0,a025,mlp,0.4,1.433333333333331,1.5499999999999958,0.802,0.7995
linear,1,0.0,a045,logreg,0.05,0.6666666666666599,1.0166666666666657,0.6871666666666667,0.6843333333333333
linear,1,0.0,a045,logreg,0.1,1.200000000000001,1.4833333333333365,0.7058333333333333,0.7025
linear,1,0.0,a045,logreg,0.15,1.5666666666666607,1.749999999999996,0.7235,0.7216666666666667
linear,1,0.0,a045,logreg,0.2,2.1333333333333426,2.083333333333326,0.7403333333333333,0.7386666666666667
linear,1,0.0,a045,logreg,0.25,2.283333333333337,2.866666666666662,0.7565,0.752
linear,1,0.0,a045,logreg,0.3,2.8166666666666673,3.1166666666666676,0.7708333333333334,0.7668333333333334
linear,1,0.0,a045,logreg,0.4,3.6499999999999977,3.849999999999998,0.802,0.7995
linear,1,0.0,a045,gbm,0.05,0.7166666666666655,0.86666666666666,0.6871666666666667,0.6843333333333333
linear,1,0.0,a045,gbm,0.1,0.9166666666666656,1.2666666666666604,0.7058333333333333,0.7025
linear,1,0.0,a045,gbm,0.15,1.4833333333333254,1.6833333333333367,0.7235,0.7216666666666667
linear,1,0.0,a045,gbm,0.2,1.650000000000007,2.100000000000002,0.7403333333333333,0.7386666666666667
linear,1,0.0,a045,gbm,0.25,2.1500000000000075,2.749999999999997,0.7565,0.752
linear,1,0.0,a045,gbm,0.3,2.649999999999997,3.166666666666662,0.7708333333333334,0.7668333333333334
linear,1,0.0,a045,gbm,0.4,3.266666666666662,3.3666666666666734,0.802,0.7995
linear,1,0.0,a045,mlp,0.05,0.76666666666666,0.9833333333333361,0.6871666666666667,0.6843333333333333
linear,1,0.0,a045,mlp,0.1,1.0666666666666713,1.4666666666666606,0.7058333333333333,0.7025
linear,1,0.0,a045,mlp,0.15,1.4666666666666606,1.749999999999996,0.7235,0.7216666666666667
linear,1,0.0,a045,mlp,0.2,1.7000000000000015,2.316666666666667,0.7403333333333333,0.7386666666666667
linear,1,0.0,a045,mlp,0.25,2.083333333333337,2.866666666666662,0.7565,0.752
linear,1,0.0,a045,mlp,0.3,2.4499999999999966,3.1333333333333324,0.7708333333333334,0.7668333333333334
linear,1,0.0,a045,mlp,0.4,2.6999999999999913,3.500000000000003,0.802,0.7995
linear,1,0.0,a070,logreg,0.05,1.1166666666666658,1.3833333333333364,0.6871666666666667,0.6843333333333333
linear,1,0.0,a070,logreg,0.1,1.9333333333333313,2.183333333333337,0.7058333333333333,0.7025
linear,1,0.0,a070,logreg,0.15,2.5666666666666615,2.6666666666666616,0.7235,0.7216666666666667
linear,1,0.0,a070,logreg,0.2,3.083333333333338,3.2499999999999973,0.7403333333333333,0.7386666666666667
linear,1,0.0,a070,logreg,0.25,3.633333333333333,3.949999999999998,0.7565,0.752
linear,1,0.0,a070,logreg,0.3,4.266666666666663,4.566666666666663,0.7708333333333334,0.7668333333333334
linear,1,0.0,a070,logreg,0.4,5.283333333333329,5.549999999999999,0.802,0.7995
linear,1,0.0,a070,gbm,0.05,1.100000000000001,1.2833333333333363,0.6871666666666667,0.6843333333333333
linear,1,0.0,a070,gbm,0.1,1.7833333333333368,2.166666666666661,0.7058333333333333,0.7025
linear,1,0.0,a070,gbm,0.15,2.4833333333333263,2.5666666666666615,0.7235,0.7216666666666667
linear,1,0.0,a070,gbm,0.2,3.066666666666673,3.0000000000000027,0.7403333333333333,0.7386666666666667
linear,1,0.0,a070,gbm,0.25,3.5833333333333384,3.9000000000000035,0.7565,0.752
linear,1,0.0,a070,gbm,0.3,4.3166666666666575,4.416666666666669,0.7708333333333334,0.7668333333333334
linear,1,0.0,a070,gbm,0.4,5.266666666666664,5.133333333333335,0.802,0.7995
linear,1,0.0,a070,mlp,0.05,1.083333333333325,1.3833333333333364,0.6871666666666667,0.6843333333333333
linear,1,0.0,a070,mlp,0.1,1.7833333333333368,2.1333333333333315,0.7058333333333333,0.7025
linear,1,0.0,a070,mlp,0.15,2.5666666666666615,2.6666666666666616,0.7235,0.7216666666666667
linear,1,0.0,a070,mlp,0.2,3.166666666666673,3.3166666666666678,0.7403333333333333,0.7386666666666667
linear,1,0.0,a070,mlp,0.25,3.616666666666668,4.083333333333328,0.7565,0.752
linear,1,0.0,a070,mlp,0.3,4.249999999999998,4.799999999999994,0.7708333333333334,0.7668333333333334
linear,1,0.0,a070,mlp,0.4,5.316666666666658,5.166666666666664,0.802,0.7995
linear,1,0.0,a100,logreg,0.05,1.6666666666666607,1.9499999999999962,0.6871666666666667,0.6843333333333333
linear,1,0.0,a100,logreg,0.1,2.533333333333332,2.9000000000000026,0.7058333333333333,0.7025
linear,1,0.0,a100,logreg,0.15,3.3666666666666623,3.5833333333333273,0.7235,0.7216666666666667
linear,1,0.0,a100,logreg,0.2,4.216666666666669,4.333333333333334,0.7403333333333333,0.7386666666666667
linear,1,0.0,a100,logreg,0.25,4.833333333333334,5.300000000000004,0.7565,0.752
linear,1,0.0,a100,logreg,0.3,5.449999999999999,5.85,0.7708333333333334,0.7668333333333334
linear,1,0.0,a100,logreg,0.4,6.21666666666666,6.433333333333335,0.802,0.7995
linear,1,0.0,a100,gbm,0.05,1.5499999999999958,1.7666666666666608,0.6871666666666667,0.6843333333333333
linear,1,0.0,a100,gbm,0.1,2.3833333333333373,2.866666666666662,0.7058333333333333,0.7025
linear,1,0.0,a100,gbm,0.15,3.2333333333333325,3.633333333333333,0.7235,0.7216666666666667
linear,1,0.0,a100,gbm,0.2,4.250000000000009,4.416666666666669,0.7403333333333333,0.7386666666666667
linear,1,0.0,a100,gbm,0.25,4.716666666666669,5.266666666666664,0.7565,0.752
linear,1,0.0,a100,gbm,0.3,5.366666666666664,5.733333333333334,0.7708333333333334,0.7668333333333334
linear,1,0.0,a100,gbm,0.4,6.016666666666659,6.05,0.802,0.7995
linear,1,0.0,a100,mlp,0.05,1.6000000000000014,1.849999999999996,0.6871666666666667,0.6843333333333333
linear,1,0.0,a100,mlp,0.1,2.5666666666666726,2.7833333333333266,0.7058333333333333,0.7025
linear,1,0.0,a100,mlp,0.15,3.3333333333333326,3.633333333333333,0.7235,0.7216666666666667
linear,1,0.0,a100,mlp,0.2,4.383333333333339,4.249999999999998,0.7403333333333333,0.7386666666666667
linear,1,0.0,a100,mlp,0.25,4.833333333333334,5.266666666666664,0.7565,0.752
linear,1,0.0,a100,mlp,0.3,5.483333333333329,5.683333333333329,0.7708333333333334,0.7668333333333334
linear,1,0.0,a100,mlp,0.4,6.18333333333333,5.983333333333329,0.802,0.7995
linear,1,0.0,a150,logreg,0.05,1.966666666666661,2.300000000000002,0.6871666666666667,0.6843333333333333
linear,1,0.0,a150,logreg,0.1,3.283333333333338,3.500000000000003,0.7058333333333333,0.7025
linear,1,0.0,a150,logreg,0.15,4.316666666666668,4.466666666666663,0.7235,0.7216666666666667
linear,1,0.0,a150,logreg,0.2,5.05000000000001,5.183333333333328,0.7403333333333333,0.7386666666666667
linear,1,0.0,a150,logreg,0.25,5.683333333333341,6.15,0.7565,0.752
linear,1,0.0,a150,logreg,0.3,6.433333333333325,6.766666666666666,0.7708333333333334,0.7668333333333334
linear,1,0.0,a150,logreg,0.4,7.133333333333325,7.400000000000007,0.802,0.7995
linear,1,0.0,a150,gbm,0.05,1.9833333333333258,2.2499999999999964,0.6871666666666667,0.6843333333333333
linear,1,0.0,a150,gbm,0.1,3.3333333333333326,3.5833333333333273,0.7058333333333333,0.7025
linear,1,0.0,a150,gbm,0.15,4.216666666666669,4.366666666666664,0.7235,0.7216666666666667
linear,1,0.0,a150,gbm,0.2,4.88333333333334,5.049999999999999,0.7403333333333333,0.7386666666666667
linear,1,0.0,a150,gbm,0.25,5.600000000000005,6.199999999999994,0.7565,0.752
linear,1,0.0,a150,gbm,0.3,6.466666666666665,6.8500000000000005,0.7708333333333334,0.7668333333333334
linear,1,0.0,a150,gbm,0.4,6.983333333333331,7.116666666666671,0.802,0.7995
linear,1,0.0,a150,mlp,0.05,1.9499999999999962,2.183333333333337,0.6871666666666667,0.6843333333333333
linear,1,0.0,a150,mlp,0.1,3.2499999999999973,3.4499999999999975,0.7058333333333333,0.7025
linear,1,0.0,a150,mlp,0.15,4.399999999999993,4.216666666666669,0.7235,0.7216666666666667
linear,1,0.0,a150,mlp,0.2,5.033333333333334,5.049999999999999,0.7403333333333333,0.7386666666666667
linear,1,0.0,a150,mlp,0.25,5.633333333333335,6.25,0.7565,0.752
linear,1,0.0,a150,mlp,0.3,6.466666666666665,6.75,0.7708333333333334,0.7668333333333334
linear,1,0.0,a150,mlp,0.4,7.18333333333333,7.2833333333333306,0.802,0.7995
linear,1,0.0,a200,logreg,0.05,2.166666666666661,2.4666666666666615,0.6871666666666667,0.6843333333333333
linear,1,0.0,a200,logreg,0.1,3.6499999999999977,4.0000000000000036,0.7058333333333333,0.7025
linear,1,0.0,a200,logreg,0.15,4.499999999999993,4.700000000000005,0.7235,0.7216666666666667
linear,1,0.0,a200,logreg,0.2,5.4333333333333345,5.599999999999994,0.7403333333333333,0.7386666666666667
linear,1,0.0,a200,logreg,0.25,6.25,6.799999999999995,0.7565,0.752
linear,1,0.0,a200,logreg,0.3,7.0666666666666655,7.350000000000001,0.7708333333333334,0.7668333333333334
linear,1,0.0,a200,logreg,0.4,7.833333333333325,7.966666666666667,0.802,0.7995
linear,1,0.0,a200,gbm,0.05,2.183333333333326,2.3833333333333373,0.6871666666666667,0.6843333333333333
linear,1,0.0,a200,gbm,0.1,3.7000000000000033,4.033333333333333,0.7058333333333333,0.7025
linear,1,0.0,a200,gbm,0.15,4.416666666666669,4.700000000000005,0.7235,0.7216666666666667
linear,1,0.0,a200,gbm,0.2,5.2166666666666694,5.4333333333333345,0.7403333333333333,0.7386666666666667
linear,1,0.0,a200,gbm,0.25,5.91666666666667,6.550000000000001,0.7565,0.752
