generator,seed,w_conf,acc_B1,acc_B2_temp,acc_B2_iso,flip_rate
nonlinear,16,0.2,0.735,0.735,0.7353333333333333,0.3289166666666667
nonlinear,16,0.4,0.7405,0.7405,0.7395,0.32825
nonlinear,16,0.6,0.757,0.757,0.7578333333333334,0.32658333333333334
nonlinear,16,0.8,0.7595,0.7595,0.7591666666666667,0.3329166666666667
nonlinear,16,1.0,0.7678333333333334,0.7678333333333334,0.7691666666666667,0.3378333333333333
nonlinear,16,1.2,0.768,0.768,0.768,0.3398333333333333
nonlinear,16,1.4,0.7758333333333334,0.7758333333333334,0.7756666666666666,0.33941666666666664
nonlinear,16,1.6,0.7838333333333334,0.7838333333333334,0.7846666666666666,0.3278333333333333
nonlinear,16,1.8,0.7831666666666667,0.7831666666666667,0.7826666666666666,0.33616666666666667
nonlinear,16,2.0,0.7943333333333333,0.7943333333333333,0.7941666666666667,0.3308333333333333
nonlinear,17,0.0,0.7325,0.7325,0.7308333333333333,0.33816666666666667
nonlinear,17,0.2,0.7465,0.7465,0.7446666666666667,0.3368333333333333
nonlinear,17,0.4,0.7446666666666667,0.7446666666666667,0.7443333333333333,0.33758333333333335
nonlinear,17,0.6,0.7611666666666667,0.7611666666666667,0.7596666666666667,0.3455
nonlinear,17,0.8,0.7675,0.7675,0.7658333333333334,0.3378333333333333
nonlinear,17,1.0,0.7665,0.7665,0.766,0.33925
nonlinear,17,1.2,0.7736666666666666,0.7736666666666666,0.7736666666666666,0.34141666666666665
nonlinear,17,1.4,0.7773333333333333,0.7773333333333333,0.7761666666666667,0.3403333333333333
nonlinear,17,1.6,0.7953333333333333,0.7953333333333333,0.7941666666666667,0.33366666666666667
nonlinear,17,1.8,0.7901666666666667,0.7901666666666667,0.789,0.33125
nonlinear,17,2.0,0.7956666666666666,0.7956666666666666,0.7945,0.33908333333333335
nonlinear,18,0.0,0.7291666666666666,0.7291666666666666,0.7371666666666666,0.3279166666666667
nonlinear,18,0.2,0.7413333333333333,0.7413333333333333,0.7425,0.3293333333333333
nonlinear,18,0.4,0.7433333333333333,0.7433333333333333,0.7426666666666667,0.3315
nonlinear,18,0.6,0.7496666666666667,0.7496666666666667,0.7528333333333334,0.3373333333333333
nonlinear,18,0.8,0.7573333333333333,0.7573333333333333,0.7588333333333334,0.32958333333333334
nonlinear,18,1.0,0.7673333333333333,0.7673333333333333,0.7665,0.33358333333333334
nonlinear,18,1.2,0.7671666666666667,0.7671666666666667,0.7663333333333333,0.33458333333333334
nonlinear,18,1.4,0.7746666666666666,0.7746666666666666,0.7765,0.331
nonlinear,18,1.6,0.774,0.774,0.7731666666666667,0.3295
nonlinear,18,1.8,0.7816666666666666,0.7816666666666666,0.7818333333333334,0.3323333333333333
nonlinear,18,2.0,0.7881666666666667,0.7881666666666667,0.789,0.3319166666666667
nonlinear,19,0.0,0.7333333333333333,0.7333333333333333,0.74,0.33725
nonlinear,19,0.2,0.7435,0.7435,0.7433333333333333,0.33066666666666666
nonlinear,19,0.4,0.7433333333333333,0.7433333333333333,0.7425,0.339
nonlinear,19,0.6,0.7413333333333333,0.7413333333333333,0.742,0.33391666666666664
nonlinear,19,0.8,0.7553333333333333,0.7553333333333333,0.7555,0.33375
nonlinear,19,1.0,0.7571666666666667,0.7571666666666667,0.7575,0.34125
nonlinear,19,1.2,0.7685,0.7685,0.7665,0.34108333333333335
nonlinear,19,1.4,0.7703333333333333,0.7703333333333333,0.7715,0.3396666666666667
nonlinear,19,1.6,0.7718333333333334,0.7718333333333334,0.7721666666666667,0.33741666666666664
nonlinear,19,1.8,0.7776666666666666,0.7776666666666666,0.7761666666666667,0.33641666666666664
nonlinear,19,2.0,0.786,0.786,0.7848333333333334,0.33275
